id,conflict_new_id,conflict_name,dyad_name,side_a,side_b,source_article,source_office,source_date,source_headline,source_original,where_coordinates,latitude,longitude,country,region,date_start,date_end,deaths_a,deaths_b,deaths_civilians,deaths_unknown,high
237152,13637,Afghanistan: Islamic State,Government of Afghanistan - IS,Government of Afghanistan,IS,"""Xinhua News Agency,2017-01-13,11 militants killed in fresh Afghan military operations""",Xinhua News Agency,13/01/2017,11 militants killed in fresh Afghan military operations,Defense Ministry,Afghanistan,33,65,Afghanistan,Asia,12/01/2017,13/01/2017,0,1,0,0,1
237979,333,Afghanistan:Government,Government of Afghanistan - Taleban,Government of Afghanistan,Taleban,"""Pajhwok News,2017-01-21,4 rebels, local police commander killed""",Pajhwok News,21/01/2017,"4 rebels, local police commander killed","Military, resident",Shamalan village,31.1418,64.1713,Afghanistan,Asia,20/01/2017,20/01/2017,0,4,0,0,4
237441,333,Afghanistan:Government,Government of Afghanistan - Taleban,Government of Afghanistan,Taleban,"""Bakhtar News Agency,2017-02-13,Taliban Commander Killed In Zabul""",Bakhtar News Agency,13/02/2017,Taliban Commander Killed In Zabul,Army,Zabul province,32.25,67.25,Afghanistan,Asia,11/02/2017,13/02/2017,0,1,0,0,1
238051,333,Afghanistan:Government,Government of Afghanistan - Taleban,Government of Afghanistan,Taleban,"""Pajhwok News,2017-02-13,20 militants killed in Uruzgan airstrikes""",Pajhwok News,13/02/2017,20 militants killed in Uruzgan airstrikes,governorâ€™s spokesperson ,Tirin Kot town,32.62675,65.873313,Afghanistan,Asia,12/02/2017,13/02/2017,0,20,0,0,20
237442,333,Afghanistan:Government,Government of Afghanistan - Taleban,Government of Afghanistan,Taleban,"""BBC Monitoring South Asia,2017-02-13,Taliban report 15 soldiers killed or injured in clashes in Afghan north""",BBC Monitoring South Asia,13/02/2017,Taliban report 15 soldiers killed or injured in clashes in Afghan north,Taleban,Gurzad village,36.1833,64.8742,Afghanistan,Asia,13/02/2017,13/02/2017,0,1,0,0,1
252485,333,Afghanistan:Government,Government of Afghanistan - Taleban,Government of Afghanistan,Taleban,"""Bakhtar News Agency,2017-02-17,19 Terrorists Kill, Hurt in ANSF Mopping-Up Operations""",Bakhtar News Agency,17/02/2017,"19 Terrorists Kill, Hurt in ANSF Mopping-Up Operations",Ministry of National Defense ,Uruzgan province,32.83333,66,Afghanistan,Asia,16/02/2017,17/02/2017,0,2,0,0,1
238156,514,Taleban - Civilians,Taleban - Civilians,Taleban,Civilians,"""Pajhwok News,2017-02-21,2 including district police chiefâ€™s son shot dead""",Pajhwok News,21/02/2017,2 including district police chiefâ€™s son shot dead,"provincial council member, Taleban",Ghol Bayan village,35.7337,65.354,Afghanistan,Asia,20/02/2017,20/02/2017,0,0,1,0,1
237828,13637,Afghanistan: Islamic State,Government of Afghanistan - IS,Government of Afghanistan,IS,"""Xinhua News Agency,2017-03-26,Airstrikes kill 27 IS militants in E. Afghanistan""",Xinhua News Agency,26/03/2017,Airstrikes kill 27 IS militants in E. Afghanistan,Interior Ministry ,Kot district,34.155777,70.598827,Afghanistan,Asia,25/03/2017,25/03/2017,0,27,0,0,27
237847,333,Afghanistan:Government,Government of Afghanistan - Taleban,Government of Afghanistan,Taleban,"""Xinhua News Agency,2017-03-29,Roundup: Afghan forces intensify crackdown as more than 100 Taliban militants killed""",Xinhua News Agency,29/03/2017,Roundup: Afghan forces intensify crackdown as more than 100 Taliban militants killed,provincial government. ,Bowlan village,31.600697,64.33329,Afghanistan,Asia,28/03/2017,29/03/2017,0,22,0,0,22
240164,333,Afghanistan:Government,Government of Afghanistan - Taleban,Government of Afghanistan,Taleban,"""Pajhwok News,2017-04-11,4 dead, 18 wounded in Kunduz explosions: Police""",Pajhwok News,11/04/2017,"4 dead, 18 wounded in Kunduz explosions: Police",police,Qasab village,36.608227,68.853127,Afghanistan,Asia,10/04/2017,10/04/2017,0,0,0,0,4
240195,333,Afghanistan:Government,Government of Afghanistan - Taleban,Government of Afghanistan,Taleban,"""Pajhwok News,2017-04-21,8 Taliban killed in Uruzgan clash: police chief""",Pajhwok News,21/04/2017,8 Taliban killed in Uruzgan clash: police chief,Police,Sola-i-Janubi village,32.6115,65.9326,Afghanistan,Asia,20/04/2017,20/04/2017,0,8,0,0,8
240212,13637,Afghanistan: Islamic State,Government of Afghanistan - IS,Government of Afghanistan,IS,"""Pajhwok News,2017-04-29,20 more Daesh gunmen killed in Nangarhar raids""",Pajhwok News,29/04/2017,20 more Daesh gunmen killed in Nangarhar raids,governorâ€™s spokesman ,Achin district,34.056919,70.661263,Afghanistan,Asia,28/04/2017,29/04/2017,0,10,0,0,10
240036,506,IS - Civilians,IS - Civilians,IS,Civilians,"""BBC Monitoring South Asia,2017-05-15,Locals, officials differ over cause of deadly blast in Afghan west""",BBC Monitoring South Asia,15/05/2017,"Locals, officials differ over cause of deadly blast in Afghan west","local elder, IS, governor's spokesman,  secretary of Herat provincial council ",Hirat town,34.349991,62.200001,Afghanistan,Asia,12/05/2017,12/05/2017,0,0,0,0,6
240326,333,Afghanistan:Government,Government of Afghanistan - Taleban,Government of Afghanistan,Taleban,"""Pajhwok News,2017-05-16,Policeman among 5 killed in Badghis clash""",Pajhwok News,16/05/2017,Policeman among 5 killed in Badghis clash,"resident, police",Langar village,34.869999,63.456306,Afghanistan,Asia,15/05/2017,15/05/2017,1,4,0,0,5
240074,13637,Afghanistan: Islamic State,Government of Afghanistan - IS,Government of Afghanistan,IS,"""BBC Monitoring South Asia,2017-05-23,Five armed men killed, six injured in operation in Afghan east - agency""",BBC Monitoring South Asia,23/05/2017,"Five armed men killed, six injured in operation in Afghan east - agency",Nangarhar Province security command,Oghz village,34.059994,70.453995,Afghanistan,Asia,22/05/2017,22/05/2017,0,1,0,0,1
240787,333,Afghanistan:Government,Government of Afghanistan - Taleban,Government of Afghanistan,Taleban,"""Pajhwok News,2017-05-27,6 police gunned down in Zabul insider attack""",Pajhwok News,27/05/2017,6 police gunned down in Zabul insider attack,police,Shinkay district,31.918721,67.151789,Afghanistan,Asia,27/05/2017,27/05/2017,0,0,0,0,6
244231,333,Afghanistan:Government,Government of Afghanistan - Taleban,Government of Afghanistan,Taleban,"""Xinhua News Agency,2017-06-19,3 killed, 16 detained during Afghan special operations""",Xinhua News Agency,19/06/2017,"3 killed, 16 detained during Afghan special operations",Military,Arghandab district (Kandahar),31.756763,65.647486,Afghanistan,Asia,18/06/2017,18/06/2017,0,3,0,0,3
247352,514,Taleban - Civilians,Taleban - Civilians,Taleban,Civilians,"""Pajhwok News,2017-06-18,Taliban gun down elder seeking release of captive""",Pajhwok News,18/06/2017,Taliban gun down elder seeking release of captive,district chief ,Tash Qala village,36.2431,64.8679,Afghanistan,Asia,18/06/2017,18/06/2017,0,0,0,0,1
251652,333,Afghanistan:Government,Government of Afghanistan - Taleban,Government of Afghanistan,Taleban,"""Pajhwok News,2017-06-21,Afghan forces recapture Jawzjanâ€™s Darzab district""",Pajhwok News,21/06/2017,Afghan forces recapture Jawzjanâ€™s Darzab district,"Police, resident",Maghul village,35.9753,65.4121,Afghanistan,Asia,20/06/2017,20/06/2017,1,0,0,0,1
247424,333,Afghanistan:Government,Government of Afghanistan - Taleban,Government of Afghanistan,Taleban,"""Pajhwok News,2017-06-26,3 Faryab brothers killed in Taliban ambush""",Pajhwok News,26/06/2017,3 Faryab brothers killed in Taliban ambush,Police ,Pashtun Kot district,35.821369,64.765051,Afghanistan,Asia,26/06/2017,26/06/2017,0,0,0,0,3
252627,333,Afghanistan:Government,Government of Afghanistan - Taleban,Government of Afghanistan,Taleban,"""Xinhua News Agency,2017-07-01,Afghan air raids kill 13 militants in 24 hours""",Xinhua News Agency,01/07/2017,Afghan air raids kill 13 militants in 24 hours,Interior Ministry ,Qar Khawal village,36.0376,65.6507,Afghanistan,Asia,30/06/2017,01/07/2017,0,1,0,0,2
244375,333,Afghanistan:Government,Government of Afghanistan - Taleban,Government of Afghanistan,Taleban,"""Agence France Presse,2017-07-05,Kabul rocket kills woman and child""",Agence France Presse,05/07/2017,Kabul rocket kills woman and child, interior ministry ,Kabul city,34.531094,69.162796,Afghanistan,Asia,05/07/2017,05/07/2017,0,0,2,0,2
252633,333,Afghanistan:Government,Government of Afghanistan - Taleban,Government of Afghanistan,Taleban,"""Pajhwok News,2017-07-07,26 fighters eliminated in fresh security incidents: MoD""",Pajhwok News,07/07/2017,26 fighters eliminated in fresh security incidents: MoD,Ministry of Defence ,Farah province,32.5,62.5,Afghanistan,Asia,06/07/2017,07/07/2017,0,2,0,0,2
252659,333,Afghanistan:Government,Government of Afghanistan - Taleban,Government of Afghanistan,Taleban,"""Xinhua News Agency,2017-07-10,Afghan military kills 69 insurgents within day: gov't""",Xinhua News Agency,10/07/2017,Afghan military kills 69 insurgents within day: gov't,Defense Ministry,Paktika province,32.416667,68.75,Afghanistan,Asia,09/07/2017,10/07/2017,0,3,0,0,3
252660,333,Afghanistan:Government,Government of Afghanistan - Taleban,Government of Afghanistan,Taleban,"""Xinhua News Agency,2017-07-10,Afghan military kills 69 insurgents within day: gov't""",Xinhua News Agency,10/07/2017,Afghan military kills 69 insurgents within day: gov't,Defense Ministry,Paktya province,33.666667,69.33333,Afghanistan,Asia,09/07/2017,10/07/2017,0,3,0,0,3
252688,333,Afghanistan:Government,Government of Afghanistan - Taleban,Government of Afghanistan,Taleban,"""Xinhua News Agency,2017-07-19,55 militants, 5 police killed in Afghan battles""",Xinhua News Agency,19/07/2017,"55 militants, 5 police killed in Afghan battles",Defense Ministry  ,Kapisa province,35,69.58333,Afghanistan,Asia,18/07/2017,19/07/2017,0,1,0,0,1
251459,333,Afghanistan:Government,Government of Afghanistan - Taleban,Government of Afghanistan,Taleban,"""Pajhwok News,2017-07-20,6 rebels dead, 4 wounded in Ghazni gun-battle""",Pajhwok News,20/07/2017,"6 rebels dead, 4 wounded in Ghazni gun-battle","police, resident, taleban",Abdurrahim village,33.290993,68.399498,Afghanistan,Asia,19/07/2017,19/07/2017,1,3,0,0,4
252699,333,Afghanistan:Government,Government of Afghanistan - Taleban,Government of Afghanistan,Taleban,"""Xinhua News Agency,2017-07-22,56 militants killed in Afghan security operations""",Xinhua News Agency,22/07/2017,56 militants killed in Afghan security operations,Defense Ministry ,Nangarhar province,34.33333,70.41667,Afghanistan,Asia,21/07/2017,22/07/2017,0,3,0,0,3
248248,333,Afghanistan:Government,Government of Afghanistan - Taleban,Government of Afghanistan,Taleban,"""Pajhwok News,2017-08-03,2 ANA soldiers, civilian killed in Zabul incidents""",Pajhwok News,03/08/2017,"2 ANA soldiers, civilian killed in Zabul incidents",police,Shahjoy district,32.495924,67.394208,Afghanistan,Asia,02/08/2017,02/08/2017,0,0,1,0,1
248249,333,Afghanistan:Government,Government of Afghanistan - Taleban,Government of Afghanistan,Taleban,"""Pajhwok News,2017-08-03,2 ANA soldiers, civilian killed in Zabul incidents""",Pajhwok News,03/08/2017,"2 ANA soldiers, civilian killed in Zabul incidents",district chief,Mizan district,32.178461,66.508063,Afghanistan,Asia,02/08/2017,02/08/2017,0,0,0,1,1
252733,333,Afghanistan:Government,Government of Afghanistan - Taleban,Government of Afghanistan,Taleban,"""Pajhwok News,2017-08-04,Over 60 rebels dead in country-wide offensives: MoD""",Pajhwok News,04/08/2017,Over 60 rebels dead in country-wide offensives: MoD, Ministry of Defence ,Uruzgan province,32.83333,66,Afghanistan,Asia,03/08/2017,04/08/2017,0,4,0,0,4
252734,333,Afghanistan:Government,Government of Afghanistan - Taleban,Government of Afghanistan,Taleban,"""Pajhwok News,2017-08-04,Over 60 rebels dead in country-wide offensives: MoD""",Pajhwok News,04/08/2017,Over 60 rebels dead in country-wide offensives: MoD, Ministry of Defence ,Kandahar province,31,65.75,Afghanistan,Asia,03/08/2017,04/08/2017,0,4,0,0,4
244974,333,Afghanistan:Government,Government of Afghanistan - Taleban,Government of Afghanistan,Taleban,"""Xinhua News Agency,2017-08-17,1st LD Writethru: Afghan airstrike kills 5 Taliban militants in Kunduz province""",Xinhua News Agency,17/08/2017,1st LD Writethru: Afghan airstrike kills 5 Taliban militants in Kunduz province,district governor ,Qara Yatim (1) village,36.7296,68.8206,Afghanistan,Asia,17/08/2017,17/08/2017,0,5,0,0,5
252765,333,Afghanistan:Government,Government of Afghanistan - Taleban,Government of Afghanistan,Taleban,"""Pajhwok News,2017-09-02,A dozen rebels killed in past 24 hours: MoD""",Pajhwok News,02/09/2017,A dozen rebels killed in past 24 hours: MoD,Ministry of Defense  ,Nangarhar province,34.33333,70.41667,Afghanistan,Asia,01/09/2017,02/09/2017,0,1,0,0,1
248522,484,Government of Afghanistan - Civilians,Government of Afghanistan - Civilians,Government of Afghanistan,Civilians,"""Pajhwok News,2017-09-13,1 civilian killed, 2 injured in Herat police firing""",Pajhwok News,13/09/2017,"1 civilian killed, 2 injured in Herat police firing","police, residents",Kharaba-i- Qala-i- Shah Bed village,33.9425,62.2384,Afghanistan,Asia,12/09/2017,12/09/2017,0,0,0,0,1
252417,333,Afghanistan:Government,Government of Afghanistan - Taleban,Government of Afghanistan,Taleban,"""Pajhwok News,2017-09-17,Commanders among 18 rebels dead in Uruzgan blitz""",Pajhwok News,17/09/2017,Commanders among 18 rebels dead in Uruzgan blitz,police,Yak Langa village,32.5889,65.7738,Afghanistan,Asia,16/09/2017,16/09/2017,0,6,0,0,6
246044,333,Afghanistan:Government,Government of Afghanistan - Taleban,Government of Afghanistan,Taleban,"""Xinhua News Agency,2017-09-18,Six militants killed in army operation in northern Afghanistan""",Xinhua News Agency,18/09/2017,Six militants killed in army operation in northern Afghanistan,Army,Yardar village,36.9652,70.9238,Afghanistan,Asia,18/09/2017,18/09/2017,0,6,0,0,6
248580,333,Afghanistan:Government,Government of Afghanistan - Taleban,Government of Afghanistan,Taleban,"""Pajhwok News,2017-09-22,12 Taliban killed, 17 wounded in Kunduz battle""",Pajhwok News,22/09/2017,"12 Taliban killed, 17 wounded in Kunduz battle",intelligence chief ,Gul Bulaq village,36.8297,69.245,Afghanistan,Asia,22/09/2017,22/09/2017,1,6,0,0,6
248590,333,Afghanistan:Government,Government of Afghanistan - Taleban,Government of Afghanistan,Taleban,"""Pajhwok News,2017-09-25,Police among 4 killed in Kandahar, Uruzgan blasts""",Pajhwok News,25/09/2017,"Police among 4 killed in Kandahar, Uruzgan blasts",police,Maywand district,31.5819,64.99308,Afghanistan,Asia,25/09/2017,25/09/2017,0,0,1,0,1
248861,13637,Afghanistan: Islamic State,Government of Afghanistan - IS,Government of Afghanistan,IS,"""Pajhwok News,2017-11-20,18 Daesh eliminated in Nangarhar airstrike, clash""",Pajhwok News,20/11/2017,"18 Daesh eliminated in Nangarhar airstrike, clash",governorâ€™s spokesman ,Abdul Khel valley,34.053964,70.695985,Afghanistan,Asia,19/11/2017,20/11/2017,0,14,0,0,14
251486,333,Afghanistan:Government,Government of Afghanistan - Taleban,Government of Afghanistan,Taleban,"""BBC Monitoring South Asia,2017-12-02,Programme summary of Afghan Ghaznawian TV news in Dari 1500 gmt 24 Nov 17""",BBC Monitoring South Asia,02/12/2017,Programme summary of Afghan Ghaznawian TV news in Dari 1500 gmt 24 Nov 17,Local officials ,Ghazni town,33.549999,68.416702,Afghanistan,Asia,23/11/2017,23/11/2017,0,4,0,0,4
250680,13637,Afghanistan: Islamic State,Government of Afghanistan - IS,Government of Afghanistan,IS,"""Xinhua News Agency,2017-12-04,Drone strikes kill 6 IS fighters in E. Afghanistan""",Xinhua News Agency,04/12/2017,Drone strikes kill 6 IS fighters in E. Afghanistan,spokesman for provincial governor ,Dih Bala district,34.088452,70.443818,Afghanistan,Asia,03/12/2017,03/12/2017,0,6,0,0,6
252247,13540,IS - Taleban,IS - Taleban,IS,Taleban,"""Pajhwok News,2017-12-07,24 Taliban, Daesh rebels killed in Nangarhar""",Pajhwok News,07/12/2017,"24 Taliban, Daesh rebels killed in Nangarhar",governorâ€™s spokesman ,Gharo China village,34.1616,70.1137,Afghanistan,Asia,06/12/2017,07/12/2017,0,1,0,0,1
250936,13637,Afghanistan: Islamic State,Government of Afghanistan - IS,Government of Afghanistan,IS,"""Pajhwok News,2017-12-14,26 Daesh gunmen slain in ongoing Khogyani operation""",Pajhwok News,14/12/2017,26 Daesh gunmen slain in ongoing Khogyani operation,Military,Wazir village,34.196796,70.159393,Afghanistan,Asia,10/12/2017,14/12/2017,0,14,0,0,14
250973,333,Afghanistan:Government,Government of Afghanistan - Taleban,Government of Afghanistan,Taleban,"""Pajhwok News,2017-12-22,50 rebels killed, 19 injured in past 24 hours: MoD""",Pajhwok News,22/12/2017,"50 rebels killed, 19 injured in past 24 hours: MoD",MoD,Shahjoy district,32.495924,67.394208,Afghanistan,Asia,21/12/2017,22/12/2017,0,3,0,0,3
250888,13637,Afghanistan: Islamic State,Government of Afghanistan - IS,Government of Afghanistan,IS,"""Xinhua News Agency,2018-01-01,IS militants killed in eastern Afghan air raid attack""",Xinhua News Agency,01/01/2018,IS militants killed in eastern Afghan air raid attack,command of Special Forces ,Dih Bala district,34.088452,70.443818,Afghanistan,Asia,31/12/2017,31/12/2017,0,5,0,0,5
252390,333,Afghanistan:Government,Government of Afghanistan - Taleban,Government of Afghanistan,Taleban,,,,,,Sayyad district,36.128281,65.726084,Afghanistan,Asia,01/01/2017,28/01/2017,0,0,0,0,14
252391,333,Afghanistan:Government,Government of Afghanistan - Taleban,Government of Afghanistan,Taleban,,,,,,Sangcharak district,35.843671,66.337516,Afghanistan,Asia,01/01/2017,28/01/2017,0,0,0,0,14
252392,333,Afghanistan:Government,Government of Afghanistan - Taleban,Government of Afghanistan,Taleban,,,,,,Sari Pul town,36.215851,65.93029,Afghanistan,Asia,01/01/2017,28/01/2017,0,0,0,0,14
247293,514,Taleban - Civilians,Taleban - Civilians,Taleban,Civilians,"""Pajhwok News,2017-06-11,Cleric, his daughter gunned down in Faryab""",Pajhwok News,11/06/2017,"Cleric, his daughter gunned down in Faryab",District chief ,Andkhoy district,36.854366,65.283009,Afghanistan,Asia,10/06/2017,10/06/2017,0,0,2,0,2
249054,13540,IS - Taleban,IS - Taleban,IS,Taleban,"""Pajhwok News,2017-11-29,Daesh-Taliban clash in Nangarhar leaves 6 dead""",Pajhwok News,29/11/2017,Daesh-Taliban clash in Nangarhar leaves 6 dead,"Army, taleban",Pirakhel village,34.176594,70.164391,Afghanistan,Asia,29/11/2017,29/11/2017,6,0,0,0,6
240245,514,Taleban - Civilians,Taleban - Civilians,Taleban,Civilians,"""Pajhwok News,2017-05-11,Faryab petroleum director gunned down in office""",Pajhwok News,11/05/2017,Faryab petroleum director gunned down in office,Officials,Maymana town,35.91732,64.78476,Afghanistan,Asia,11/05/2017,11/05/2017,0,0,0,0,1
233552,333,Afghanistan:Government,Government of Afghanistan - Taleban,Government of Afghanistan,Taleban,"""Xinhua News Agency,2017-01-01,Gun battle leaves 7 Taliban militants dead in N. Afghanistan"";""Pajhwok News,2017-01-01,5 militants killed, 8 injured in Sar-i-Pul clash""",Xinhua News Agency;Pajhwok News,2017-01-01;2017-01-01,"Gun battle leaves 7 Taliban militants dead in N. Afghanistan;5 militants killed, 8 injured in Sar-i-Pul clash","provincial governor, Taleban",Taghaye Khwajasufla village,35.9654,66.3691,Afghanistan,Asia,01/01/2017,01/01/2017,1,3,0,0,3
233553,333,Afghanistan:Government,Government of Afghanistan - Taleban,Government of Afghanistan,Taleban,"""Xinhua News Agency,2017-01-01,Gun battle leaves 7 Taliban militants dead in N. Afghanistan""",Xinhua News Agency,01/01/2017,Gun battle leaves 7 Taliban militants dead in N. Afghanistan,provincial governor  ,Sari Pul-Jawzjan road (Sari Pul province),36.306238,65.890063,Afghanistan,Asia,01/01/2017,01/01/2017,2,2,0,0,4
233554,333,Afghanistan:Government,Government of Afghanistan - Taleban,Government of Afghanistan,Taleban,"""Xinhua News Agency,2017-01-02,21 Taliban militants killed in airstrikes in Afghanistan"";""Pajhwok News,2017-01-02,18 Taliban dead in Logar clash, airstrikes""",Xinhua News Agency;Pajhwok News,2017-01-02;2017-01-02,"21 Taliban militants killed in airstrikes in Afghanistan;18 Taliban dead in Logar clash, airstrikes","Interior Ministry, governorâ€™s spokesman, resident",Abjosh Bala village,33.8471,68.8296,Afghanistan,Asia,01/01/2017,01/01/2017,0,18,0,0,21
233555,514,Taleban - Civilians,Taleban - Civilians,Taleban,Civilians,"""BBC Monitoring South Asia,2017-01-02,Afghan governor orders security organs to arrest culprits behind blast in mosque""",BBC Monitoring South Asia,02/01/2017,Afghan governor orders security organs to arrest culprits behind blast in mosque,governor  ,Hirat town,34.349991,62.200001,Afghanistan,Asia,01/01/2017,01/01/2017,0,0,0,0,1
233585,514,Taleban - Civilians,Taleban - Civilians,Taleban,Civilians,"""BBC Monitoring South Asia,2017-01-03,Taliban claim to have killed two abductors in Afghan west""",BBC Monitoring South Asia,03/01/2017,Taliban claim to have killed two abductors in Afghan west,Taleban,Khaki Safed district,32.755167,62.073124,Afghanistan,Asia,01/01/2017,01/01/2017,0,0,0,0,2
237882,333,Afghanistan:Government,Government of Afghanistan - Taleban,Government of Afghanistan,Taleban,"""Pajhwok News,2017-01-01,Helmandâ€™s Sangin, Marja towns under Taliban attack""",Pajhwok News,01/01/2017,"Helmandâ€™s Sangin, Marja towns under Taliban attack","administrative chief of Marja district, Military, head of the local council ",Marja town,31.521994,64.118492,Afghanistan,Asia,01/01/2017,01/01/2017,1,0,0,0,1
237883,13637,Afghanistan: Islamic State,Government of Afghanistan - IS,Government of Afghanistan,IS,"""Pajhwok News,2017-01-02,12 Daesh rebels killed in Nangarhar joint operation""",Pajhwok News,02/01/2017,12 Daesh rebels killed in Nangarhar joint operation,"Ministry of Defense,  governorâ€™s spokesman ",Dih Bala district,34.088452,70.443818,Afghanistan,Asia,01/01/2017,01/01/2017,0,12,0,0,12
237884,484,Government of Afghanistan - Civilians,Government of Afghanistan - Civilians,Government of Afghanistan,Civilians,"""Pajhwok News,2017-01-02,1 killed as protestors clash with police in Baghlan""",Pajhwok News,02/01/2017,1 killed as protestors clash with police in Baghlan,"Residents, provincial police spokesman ",Burka district,36.233378,69.158824,Afghanistan,Asia,01/01/2017,01/01/2017,0,0,0,0,1
252386,333,Afghanistan:Government,Government of Afghanistan - Taleban,Government of Afghanistan,Taleban,"""Xinhua News Agency,2017-01-01,Gun battle leaves 7 Taliban militants dead in N. Afghanistan"";""Pajhwok News,2017-01-01,5 militants killed, 8 injured in Sar-i-Pul clash""",Xinhua News Agency;Pajhwok News,2017-01-01;2017-01-01,"Gun battle leaves 7 Taliban militants dead in N. Afghanistan;5 militants killed, 8 injured in Sar-i-Pul clash","provincial governor, Taleban",Tabar village,35.9894,66.3764,Afghanistan,Asia,01/01/2017,01/01/2017,1,2,0,0,4
233586,333,Afghanistan:Government,Government of Afghanistan - Taleban,Government of Afghanistan,Taleban,"""BBC Monitoring South Asia,2017-01-03,BBCM Afghanistan Watchlist for 3 January"";""Pajhwok News,2017-01-02,52 Taliban killed in Helmand in past 24 hours: official""",BBC Monitoring South Asia;Pajhwok News,2017-01-03;2017-01-02,BBCM Afghanistan Watchlist for 3 January;52 Taliban killed in Helmand in past 24 hours: official,"Local officials, Military, Taleban",Sangin district,32.120374,64.994325,Afghanistan,Asia,01/01/2017,02/01/2017,4,17,0,0,21
233588,333,Afghanistan:Government,Government of Afghanistan - Taleban,Government of Afghanistan,Taleban,"""BBC Monitoring South Asia,2017-01-03,Afghan forces pull out from area in Afghan north - official""",BBC Monitoring South Asia,03/01/2017,Afghan forces pull out from area in Afghan north - official,"Police, Taleban",Qara Ghoyli village,35.814133,64.506638,Afghanistan,Asia,01/01/2017,02/01/2017,1,12,0,0,13
236660,333,Afghanistan:Government,Government of Afghanistan - Taleban,Government of Afghanistan,Taleban,"""BBC Monitoring South Asia,2017-01-03,BBCM Afghanistan Watchlist for 3 January"";""Pajhwok News,2017-01-02,52 Taliban killed in Helmand in past 24 hours: official""",BBC Monitoring South Asia;Pajhwok News,2017-01-03;2017-01-02,BBCM Afghanistan Watchlist for 3 January;52 Taliban killed in Helmand in past 24 hours: official,Local officials,Nad Ali district (Marja),31.625941,63.861445,Afghanistan,Asia,01/01/2017,02/01/2017,0,17,0,0,17
237885,333,Afghanistan:Government,Government of Afghanistan - Taleban,Government of Afghanistan,Taleban,"""Pajhwok News,2017-01-02,52 Taliban killed in Helmand in past 24 hours: official""",Pajhwok News,02/01/2017,52 Taliban killed in Helmand in past 24 hours: official,Military ,Garmser district,30.852922,64.131675,Afghanistan,Asia,01/01/2017,02/01/2017,0,13,0,0,13
237911,333,Afghanistan:Government,Government of Afghanistan - Taleban,Government of Afghanistan,Taleban,"""Pajhwok News,2017-01-05,Policewoman shot dead by Taliban in Nawa""",Pajhwok News,05/01/2017,Policewoman shot dead by Taliban in Nawa,"Police, hospital",Nawa-i-Barak Zayi district,31.270823,64.091336,Afghanistan,Asia,01/01/2017,03/01/2017,1,0,0,0,1
